月,平均気温,降水量の合計
1,5.6,16.0
2,7.2,42.0
3,10.6,117.5
4,13.6,90.5
5,20.0,120.5
6,21.8,225.0
7,24.1,193.0
8,28.4,110.0
9,25.1,197.0
10,19.4,529.5
11,13.1,156.5
12,8.5,76.5
